VisitorId,Time entered,Time spent (mins),Money spent (euros),Day
838,1:05:55 PM,62,16.75,1
838,8:04:59 PM,76,23.76,2
838,2:38:20 PM,342,123.18,3
838,8:53:30 PM,461,40.71,4
2541,6:09:57 PM,96,12.66,1
2541,2:54:42 PM,87,54.72,2
2541,5:47:54 PM,181,92.07,3
2541,2:53:41 PM,91,79.2,4
2541,6:37:17 PM,209,127.22,5
2541,3:22:38 PM,481,250.07,6
4703,1:03:39 PM,115,23.76,1
4703,10:19:10 AM,104,41.58,2
4703,11:34:14 AM,210,112.38,3
4703,4:39:30 PM,133,181.38,4
4703,8:35:32 PM,578,85.04,5
1909,10:38:06 AM,111,35.39,1
1909,9:42:26 AM,207,83.89,2
1909,9:10:08 AM,339,81.44,3
1909,12:37:25 PM,406,124.48,4
1909,3:46:10 PM,203,145.84,5
4497,5:18:47 PM,63,11.82,1
4497,1:58:52 PM,212,20.61,2
4497,5:31:44 PM,38,80.51,3
4497,8:04:37 PM,209,77.96,4
1779,4:06:57 PM,57,20.08,1
1779,3:47:40 PM,152,27.68,2
1779,11:17:16 AM,320,74.39,3
146,5:02:57 PM,73,37.0,1
146,5:24:30 PM,167,84.54,2
146,9:17:54 AM,58,115.99,3
146,2:29:03 PM,311,107.97,4
3801,1:14:39 PM,50,30.18,1
1859,7:35:10 PM,43,41.34,1
1859,4:17:30 PM,66,28.84,2
1859,8:24:46 PM,124,122.89,3
1859,4:28:45 PM,225,42.76,4
1859,1:28:09 PM,384,149.35,5
3691,4:49:38 PM,37,18.13,1
3691,3:45:59 PM,32,66.7,2
3691,4:27:03 PM,33,32.06,3
3691,5:29:37 PM,210,111.31,4
3691,9:56:42 AM,579,107.03,5
3691,2:45:50 PM,658,219.97,6
3691,11:40:22 AM,273,250.0,7
249,1:11:58 PM,19,15.51,1
249,11:40:55 AM,140,41.11,2
249,4:23:42 PM,180,32.24,3
249,5:18:22 PM,45,141.22,4
249,3:34:09 PM,518,209.01,5
249,12:46:31 PM,695,158.43,6
1017,12:59:43 PM,29,34.31,1
1017,10:38:20 AM,235,85.5,2
1017,7:46:30 PM,68,34.62,3
3364,5:12:56 PM,18,39.94,1
4315,7:18:58 PM,17,15.76,1
4315,4:34:17 PM,57,99.49,2
4315,9:20:25 AM,145,117.05,3
4085,5:45:12 PM,118,26.64,1
4085,9:52:20 AM,215,69.36,2
4085,6:54:36 PM,258,115.05,3
4085,11:31:11 AM,188,173.36,4
4085,1:30:28 PM,241,109.33,5
4085,2:11:52 PM,162,156.23,6
4085,5:04:06 PM,813,283.04,7
2872,5:05:52 PM,89,37.85,1
2872,5:10:49 PM,227,37.31,2
2872,2:36:32 PM,148,96.4,3
2872,3:58:03 PM,77,194.42,4
2872,4:35:56 PM,153,210.74,5
3894,10:48:07 AM,51,46.53,1
3894,7:39:06 PM,42,78.55,2
3894,9:54:46 AM,308,143.35,3
3894,2:19:16 PM,407,128.65,4
3894,3:55:35 PM,321,163.36,5
2786,3:01:26 PM,111,13.77,1
2786,2:39:24 PM,29,89.43,2
3052,9:27:27 AM,54,21.93,1
3052,6:46:49 PM,153,68.69,2
3052,8:13:47 PM,50,45.15,3
3052,9:46:37 AM,415,97.17,4
3052,11:37:23 AM,335,59.91,5
3052,12:06:24 PM,613,290.32,6
3052,2:14:48 PM,275,71.68,7
4494,10:36:59 AM,18,33.62,1
4494,4:28:41 PM,60,22.67,2
4494,5:10:09 PM,309,60.77,3
4494,3:15:51 PM,473,153.53,4
4494,2:11:04 PM,412,207.59,5
4494,5:51:51 PM,281,299.86,6
2886,4:56:20 PM,93,27.27,1
2886,11:53:16 AM,162,22.86,2
2886,5:34:06 PM,106,110.34,3
2886,5:41:58 PM,194,107.88,4
2886,5:46:43 PM,79,58.58,5
2886,2:30:11 PM,184,187.01,6
4345,2:42:33 PM,36,35.1,1
4345,6:53:27 PM,36,30.32,2
4345,9:45:46 AM,258,76.06,3
1184,1:32:38 PM,84,19.59,1
1184,5:14:18 PM,224,27.45,2
1184,2:47:13 PM,337,106.27,3
1184,3:36:27 PM,294,66.72,4
2567,4:28:46 PM,115,24.77,1
2567,2:33:14 PM,157,54.94,2
2567,7:31:34 PM,227,70.11,3
254,9:00:36 AM,80,14.43,1
254,8:05:13 PM,70,83.42,2
254,9:36:51 AM,276,56.59,3
254,11:25:19 AM,405,194.73,4
254,7:08:39 PM,252,248.79,5
254,4:40:28 PM,547,101.19,6
254,3:28:37 PM,464,241.09,7
4347,7:45:49 PM,51,17.38,1
4347,9:19:34 AM,191,82.71,2
4347,10:16:20 AM,312,125.79,3
4091,12:12:23 PM,20,20.4,1
4091,11:17:42 AM,163,31.99,2
4091,11:08:44 AM,342,116.27,3
4091,4:47:01 PM,80,169.95,4
4091,12:40:33 PM,346,61.29,5
4091,1:20:29 PM,268,160.31,6
2630,2:36:29 PM,29,10.47,1
2630,11:36:36 AM,93,43.67,2
2401,11:24:10 AM,108,34.91,1
2401,8:43:36 PM,128,52.17,2
1828,6:43:48 PM,39,13.87,1
1828,4:17:52 PM,65,42.0,2
4524,6:04:47 PM,22,23.37,1
4524,1:26:18 PM,58,29.11,2
4524,9:49:22 AM,325,105.94,3
4524,10:19:46 AM,395,151.3,4
4524,9:56:32 AM,85,177.17,5
2094,3:40:37 PM,12,24.21,1
2094,12:42:09 PM,115,23.65,2
2094,7:54:58 PM,325,99.36,3
2094,3:53:40 PM,330,98.3,4
2094,8:22:36 PM,382,90.35,5
2094,6:24:13 PM,430,226.1,6
2094,11:36:24 AM,465,116.0,7
3387,6:21:41 PM,32,16.11,1
3387,8:23:52 PM,148,71.45,2
3387,1:41:58 PM,316,148.66,3
3387,9:57:36 AM,106,108.79,4
3387,3:00:25 PM,176,92.46,5
3387,5:48:30 PM,565,267.4,6
1033,2:57:11 PM,30,11.65,1
1033,9:09:56 AM,172,72.72,2
1033,7:38:57 PM,99,101.24,3
1033,7:36:11 PM,146,176.7,4
1033,10:56:38 AM,221,55.53,5
3217,1:35:15 PM,51,39.05,1
3217,11:39:52 AM,71,91.27,2
3217,10:58:27 AM,227,37.17,3
3217,4:57:39 PM,126,198.05,4
3217,12:38:02 PM,350,164.85,5
3217,11:49:27 AM,621,166.48,6
3217,2:34:05 PM,315,163.41,7
2889,8:47:24 PM,92,26.14,1
2182,7:11:30 PM,118,22.45,1
257,4:58:19 PM,25,39.0,1
257,10:36:10 AM,236,86.97,2
257,2:17:06 PM,84,58.09,3
257,1:43:04 PM,121,111.75,4
533,6:28:24 PM,114,45.8,1
533,4:56:07 PM,218,93.39,2
4838,1:38:41 PM,29,30.79,1
997,12:19:54 PM,51,23.48,1
997,9:57:07 AM,43,20.33,2
997,5:17:59 PM,86,46.6,3
1099,4:30:55 PM,85,21.91,1
1099,11:50:23 AM,224,35.21,2
1099,7:22:36 PM,83,45.06,3
1099,5:06:44 PM,319,161.43,4
978,7:50:54 PM,57,36.41,1
978,10:02:36 AM,159,60.32,2
3955,6:41:31 PM,94,17.04,1
3955,10:08:52 AM,132,98.58,2
3235,10:14:13 AM,119,43.57,1
3235,3:14:41 PM,238,96.23,2
3235,9:07:23 AM,352,114.26,3
3235,4:54:40 PM,293,56.38,4
3235,1:06:53 PM,292,206.57,5
3235,10:25:39 AM,402,231.43,6
3235,8:32:20 PM,487,175.81,7
235,12:18:35 PM,84,23.8,1
235,4:55:08 PM,132,46.52,2
235,9:52:25 AM,84,140.03,3
235,7:41:01 PM,267,197.8,4
4597,6:24:44 PM,68,28.53,1
1620,4:05:45 PM,72,48.69,1
1322,6:44:26 PM,80,25.05,1
1322,1:47:57 PM,77,46.17,2
1322,3:34:37 PM,354,130.48,3
1322,9:03:49 AM,268,61.22,4
1322,10:43:56 AM,288,205.62,5
3472,3:32:48 PM,105,32.83,1
3472,4:49:49 PM,41,46.81,2
3472,9:59:55 AM,47,94.47,3
3472,4:53:23 PM,109,182.79,4
152,4:46:45 PM,25,24.04,1
152,10:24:58 AM,91,91.66,2
152,10:53:54 AM,169,141.88,3
2116,5:40:14 PM,76,37.55,1
2116,8:16:38 PM,53,99.23,2
2116,4:52:38 PM,239,63.2,3
2116,8:03:44 PM,310,118.15,4
4350,6:20:36 PM,114,31.44,1
4350,1:21:46 PM,201,36.37,2
4350,12:51:37 PM,108,82.52,3
4350,10:01:54 AM,198,127.09,4
4350,2:03:28 PM,424,181.75,5
4350,5:26:21 PM,490,200.29,6
668,10:49:21 AM,21,49.57,1
668,11:51:53 AM,228,48.68,2
668,10:59:23 AM,175,74.81,3
668,2:54:00 PM,62,55.68,4
668,11:57:18 AM,175,221.54,5
35,8:52:16 PM,27,16.5,1
35,11:34:47 AM,90,74.71,2
3060,5:30:28 PM,65,34.99,1
4652,1:05:53 PM,89,15.03,1
4652,12:30:38 PM,81,21.1,2
4652,11:45:42 AM,107,78.24,3
4652,2:29:17 PM,191,78.27,4
4652,3:04:23 PM,159,190.78,5
547,1:25:29 PM,70,19.06,1
547,11:24:22 AM,207,59.41,2
547,6:39:09 PM,240,149.75,3
3398,6:57:05 PM,63,22.03,1
3398,7:30:20 PM,28,44.42,2
1594,7:34:09 PM,82,33.25,1
1594,7:28:22 PM,217,56.19,2
1594,8:21:27 PM,285,49.93,3
1594,4:41:45 PM,353,129.75,4
3277,3:20:33 PM,77,14.24,1
3277,6:51:03 PM,163,45.51,2
3277,3:49:48 PM,145,107.52,3
3277,12:58:54 PM,261,161.99,4
3277,6:23:55 PM,237,230.28,5
3277,7:59:21 PM,445,220.5,6
3277,8:47:11 PM,88,334.3,7
1437,6:02:04 PM,51,36.07,1
1437,7:21:20 PM,204,44.11,2
3125,3:57:13 PM,89,43.07,1
3125,7:33:03 PM,83,99.79,2
3125,5:41:46 PM,249,102.57,3
3125,9:25:43 AM,463,131.23,4
3125,10:30:36 AM,544,68.95,5
1575,4:35:39 PM,44,32.41,1
1575,5:50:29 PM,168,50.19,2
1575,6:17:00 PM,318,114.0,3
1575,5:29:42 PM,49,40.2,4
1575,5:03:38 PM,482,90.34,5
1575,6:14:00 PM,413,299.73,6
1844,3:31:55 PM,64,27.36,1
1993,11:22:54 AM,49,23.71,1
1993,7:19:10 PM,21,29.94,2
4545,1:07:33 PM,21,45.14,1
4545,8:17:05 PM,108,33.2,2
4545,12:31:01 PM,71,125.93,3
4545,5:12:59 PM,266,60.35,4
934,11:32:56 AM,11,36.05,1
934,12:37:47 PM,133,93.53,2
934,9:44:32 AM,70,122.51,3
3676,2:49:21 PM,108,27.6,1
3676,2:32:06 PM,93,89.07,2
867,1:41:37 PM,16,13.88,1
867,9:53:10 AM,142,99.79,2
867,9:48:56 AM,118,99.04,3
867,12:22:48 PM,91,53.96,4
785,9:04:40 AM,77,45.03,1
785,11:11:55 AM,51,64.1,2
785,6:00:29 PM,300,140.28,3
785,10:58:16 AM,125,78.12,4
785,5:55:13 PM,587,215.29,5
4578,7:37:28 PM,91,32.36,1
4578,11:06:37 AM,222,56.66,2
4578,7:03:27 PM,232,87.48,3
3718,7:18:13 PM,92,31.13,1
3924,4:24:30 PM,95,13.81,1
3924,7:05:09 PM,97,49.71,2
3924,2:43:44 PM,55,105.9,3
3924,5:23:24 PM,343,145.55,4
3924,7:52:44 PM,375,214.9,5
3924,1:37:15 PM,643,60.39,6
3924,11:09:55 AM,684,347.12,7
3942,7:32:03 PM,105,14.53,1
3942,10:04:49 AM,113,39.73,2
3942,7:57:36 PM,95,131.46,3
2871,10:56:22 AM,80,37.31,1
2871,7:31:38 PM,56,25.64,2
2871,12:00:06 PM,179,54.58,3
2871,4:57:00 PM,400,173.29,4
2871,2:48:28 PM,60,94.29,5
3342,9:25:06 AM,32,15.58,1
3342,12:32:04 PM,113,60.81,2
3342,3:17:23 PM,53,48.31,3
3342,12:04:20 PM,442,174.93,4
3342,1:25:53 PM,137,151.98,5
3342,1:50:40 PM,590,187.2,6
3342,7:11:23 PM,207,197.78,7
2567,11:48:02 AM,95,27.31,1
2567,3:00:32 PM,166,25.96,2
2567,4:59:24 PM,203,30.05,3
2567,6:37:32 PM,299,104.76,4
2567,4:02:33 PM,273,195.85,5
2567,3:58:04 PM,341,159.62,6
4557,5:17:47 PM,59,11.6,1
4557,6:49:12 PM,78,58.56,2
4557,2:34:02 PM,144,138.25,3
4557,2:29:12 PM,82,137.8,4
4557,6:41:12 PM,448,168.77,5
4557,6:30:30 PM,410,192.49,6
4557,1:05:12 PM,92,334.59,7
890,2:49:49 PM,61,39.97,1
890,4:34:39 PM,199,98.79,2
1781,7:08:25 PM,69,29.84,1
1781,7:55:09 PM,62,68.27,2
1528,9:33:09 AM,52,26.14,1
1528,2:53:30 PM,229,77.94,2
4982,7:27:12 PM,102,49.66,1
4982,3:51:41 PM,60,50.19,2
4982,4:10:48 PM,52,119.55,3
4982,3:19:32 PM,192,171.39,4
4982,9:45:07 AM,183,177.67,5
763,5:48:58 PM,15,36.14,1
763,8:19:36 PM,170,38.57,2
763,12:06:08 PM,264,94.5,3
763,3:10:22 PM,129,115.66,4
763,9:14:00 AM,323,244.02,5
763,6:16:26 PM,256,169.94,6
2480,11:08:19 AM,100,22.48,1
2480,3:41:25 PM,112,37.37,2
2480,1:53:31 PM,72,71.12,3
2480,9:09:50 AM,124,69.28,4
2480,10:09:27 AM,96,216.14,5
818,7:26:03 PM,22,35.31,1
818,1:55:19 PM,96,74.97,2
818,3:26:19 PM,269,41.21,3
818,11:27:34 AM,200,142.17,4
818,11:58:36 AM,510,108.44,5
818,8:35:13 PM,370,158.38,6
818,10:26:13 AM,784,184.73,7
1101,4:23:42 PM,83,45.94,1
1101,11:01:40 AM,22,25.73,2
1101,8:49:42 PM,105,124.5,3
1101,2:14:02 PM,384,89.61,4
1101,12:46:44 PM,554,219.68,5
1101,9:56:39 AM,201,283.33,6
1699,10:12:17 AM,116,33.9,1
3152,6:19:11 PM,49,37.76,1
3152,9:48:09 AM,156,25.13,2
3152,3:16:45 PM,77,114.88,3
3152,12:54:08 PM,383,185.27,4
3152,3:00:19 PM,321,182.4,5
3152,6:57:22 PM,315,160.07,6
3152,5:24:11 PM,483,71.1,7
2744,10:13:12 AM,106,20.22,1
2744,6:33:17 PM,238,56.88,2
2744,9:01:50 AM,83,75.56,3
3342,9:30:30 AM,55,22.67,1
3342,12:50:24 PM,60,54.77,2
3116,8:14:50 PM,100,33.17,1
3116,11:04:08 AM,231,98.59,2
3116,9:04:17 AM,190,67.79,3
3116,1:58:26 PM,397,157.99,4
3116,8:13:42 PM,407,75.73,5
3116,3:37:37 PM,493,90.45,6
1612,12:02:30 PM,18,31.59,1
1612,2:05:53 PM,85,76.38,2
1612,11:05:06 AM,220,72.39,3
1612,9:52:19 AM,393,148.58,4
1612,7:02:56 PM,193,176.36,5
1612,8:32:21 PM,353,132.15,6
1612,2:38:09 PM,345,299.99,7
4764,11:49:48 AM,57,35.64,1
4764,3:54:05 PM,107,61.64,2
4764,7:59:09 PM,357,97.96,3
4764,1:58:55 PM,40,117.49,4
2718,6:06:16 PM,110,41.74,1
2718,12:41:23 PM,33,37.67,2
2718,7:37:25 PM,210,112.3,3
2718,3:08:31 PM,368,120.06,4
3800,2:56:34 PM,86,23.26,1
3800,7:24:21 PM,41,72.03,2
3800,1:30:52 PM,75,115.22,3
3800,12:48:36 PM,478,57.54,4
3800,2:32:04 PM,382,213.02,5
3800,10:35:22 AM,374,272.79,6
3800,6:35:20 PM,728,243.77,7
1254,10:14:41 AM,55,40.01,1
1254,9:44:55 AM,100,60.55,2
1254,6:28:10 PM,49,97.07,3
1254,1:01:09 PM,162,132.5,4
1869,8:00:08 PM,61,25.04,1
1869,5:33:09 PM,163,53.98,2
1869,2:32:10 PM,116,74.03,3
3494,7:22:12 PM,79,44.49,1
3494,3:57:37 PM,213,45.05,2
390,4:42:04 PM,37,40.81,1
390,5:21:01 PM,90,68.87,2
390,9:35:36 AM,133,63.73,3
3544,10:52:39 AM,94,16.82,1
3544,2:36:30 PM,170,58.73,2
1193,1:17:17 PM,12,41.68,1
1193,9:55:53 AM,214,96.27,2
1193,9:46:00 AM,257,55.01,3
1193,2:10:29 PM,475,55.29,4
1193,12:48:28 PM,296,231.43,5
1193,10:10:11 AM,298,221.8,6
1193,11:33:59 AM,182,228.7,7
4077,1:51:55 PM,32,44.25,1
4077,9:28:54 AM,90,55.29,2
4077,2:45:05 PM,109,118.91,3
4077,2:05:11 PM,220,183.28,4
4077,5:47:45 PM,199,207.97,5
4975,11:23:40 AM,58,44.93,1
4975,9:27:45 AM,72,27.18,2
4975,3:07:44 PM,69,53.09,3
4975,12:43:51 PM,142,169.96,4
4975,1:22:52 PM,333,77.28,5
4975,7:44:03 PM,252,233.85,6
1771,7:30:23 PM,92,17.96,1
1771,12:17:03 PM,84,28.02,2
113,12:55:08 PM,71,23.37,1
113,3:31:11 PM,79,23.16,2
113,8:32:30 PM,104,135.75,3
2767,11:10:52 AM,22,45.25,1
2767,10:48:36 AM,160,36.37,2
2767,7:08:36 PM,151,34.88,3
2249,12:04:41 PM,60,14.7,1
2249,1:21:52 PM,123,74.24,2
2249,5:01:03 PM,208,91.51,3
1720,12:14:46 PM,45,35.43,1
1720,9:44:02 AM,67,93.5,2
1720,9:35:16 AM,90,92.26,3
1720,6:09:08 PM,460,138.23,4
1720,10:46:57 AM,189,235.61,5
1720,2:36:45 PM,711,292.58,6
1720,9:13:45 AM,207,254.81,7
3785,2:19:33 PM,117,40.68,1
3785,2:46:56 PM,95,69.72,2
3785,9:58:51 AM,171,46.48,3
2893,8:59:17 PM,35,25.99,1
2893,12:35:50 PM,29,48.01,2
229,6:03:10 PM,119,49.33,1
229,4:52:52 PM,122,59.24,2
268,5:23:13 PM,29,17.69,1
268,10:23:51 AM,134,34.6,2
268,1:20:53 PM,32,53.45,3
268,10:25:35 AM,330,124.15,4
268,12:01:50 PM,159,159.33,5
268,2:20:51 PM,696,167.8,6
268,3:49:51 PM,823,126.52,7
2649,12:08:21 PM,113,18.04,1
2649,5:06:33 PM,138,44.35,2
2649,8:30:44 PM,115,129.6,3
2649,5:19:56 PM,191,67.54,4
2519,1:12:40 PM,37,17.74,1
2519,9:42:26 AM,174,83.05,2
2519,10:57:37 AM,68,43.65,3
2519,12:57:07 PM,175,181.99,4
2725,5:03:01 PM,115,28.02,1
2725,9:21:58 AM,94,31.58,2
2725,7:15:20 PM,300,71.38,3
2725,4:47:17 PM,448,103.92,4
4700,1:24:51 PM,52,32.24,1
4700,10:49:56 AM,90,25.39,2
2960,10:00:45 AM,91,43.21,1
2960,12:38:25 PM,33,86.27,2
2960,3:44:39 PM,70,91.63,3
1553,3:25:19 PM,50,24.09,1
1553,11:41:11 AM,216,61.65,2
1553,3:30:39 PM,331,147.41,3
350,5:13:28 PM,68,15.31,1
350,6:37:10 PM,167,87.6,2
2044,6:27:11 PM,14,21.49,1
2044,2:12:34 PM,193,24.07,2
2044,1:15:38 PM,215,147.05,3
2044,8:18:31 PM,373,55.43,4
1951,12:25:16 PM,64,24.22,1
4316,3:35:19 PM,55,42.3,1
4316,6:58:27 PM,103,90.65,2
4316,9:50:00 AM,211,133.53,3
1236,5:07:26 PM,111,34.66,1
1236,5:14:42 PM,137,25.33,2
1236,12:29:29 PM,280,66.28,3
1236,5:18:17 PM,204,97.7,4
1236,12:54:23 PM,581,68.82,5
1236,5:49:47 PM,573,100.78,6
1236,1:57:05 PM,268,149.45,7
1477,3:59:18 PM,42,25.88,1
1477,4:49:21 PM,45,87.22,2
1477,8:31:04 PM,128,96.12,3
1477,2:33:21 PM,128,44.29,4
1477,9:41:36 AM,222,204.94,5
1477,1:22:50 PM,399,186.25,6
3764,4:12:04 PM,95,49.12,1
3764,3:03:52 PM,212,55.34,2
3764,4:59:42 PM,157,83.81,3
3764,10:24:12 AM,347,73.41,4
3764,2:35:44 PM,75,58.61,5
3764,5:01:05 PM,285,136.19,6
4053,5:04:22 PM,92,33.36,1
4053,5:32:33 PM,28,48.23,2
4053,5:57:47 PM,144,31.04,3
4053,6:53:39 PM,78,66.78,4
4053,6:45:57 PM,485,63.42,5
4053,7:19:14 PM,332,148.21,6
2664,3:18:28 PM,48,23.81,1
2664,2:15:43 PM,65,70.1,2
1276,4:21:51 PM,17,35.93,1
381,2:03:48 PM,51,47.98,1
381,9:59:05 AM,30,39.76,2
381,3:22:43 PM,35,67.84,3
381,7:07:42 PM,53,52.22,4
381,12:57:58 PM,198,227.61,5
3873,10:29:51 AM,35,18.67,1
43,6:00:17 PM,54,31.98,1
43,3:35:03 PM,22,22.26,2
43,6:58:09 PM,339,149.64,3
4371,9:58:33 AM,101,19.66,1
4371,6:58:42 PM,80,79.67,2
4371,9:41:08 AM,43,59.47,3
4371,8:15:19 PM,102,52.2,4
4371,4:01:20 PM,191,213.15,5
4371,2:45:53 PM,654,131.48,6
3141,12:37:59 PM,107,24.28,1
3343,7:49:09 PM,96,46.3,1
3343,11:02:03 AM,224,22.66,2
3343,12:45:27 PM,228,145.87,3
4489,12:36:43 PM,100,35.63,1
1364,5:40:46 PM,86,11.44,1
1364,8:58:23 PM,79,31.81,2
1364,2:43:17 PM,107,34.18,3
1719,9:39:17 AM,70,44.72,1
1719,10:45:49 AM,108,36.55,2
1719,9:24:51 AM,227,90.92,3
1719,3:27:03 PM,163,63.08,4
1719,10:45:59 AM,90,140.16,5
4768,9:26:33 AM,73,21.88,1
4907,1:21:49 PM,45,30.88,1
4907,1:31:40 PM,90,60.72,2
4907,4:29:01 PM,171,125.66,3
85,1:56:18 PM,14,31.61,1
85,9:36:11 AM,166,60.86,2
85,11:23:54 AM,155,128.19,3
85,5:15:49 PM,203,61.92,4
85,6:22:08 PM,70,203.97,5
85,3:52:56 PM,115,281.4,6
85,12:17:28 PM,630,349.12,7
1149,2:39:24 PM,102,11.29,1
667,8:00:53 PM,35,10.47,1
667,6:45:56 PM,203,46.1,2
667,1:35:08 PM,118,52.68,3
667,8:21:25 PM,452,52.41,4
667,6:34:37 PM,507,126.06,5
4025,7:04:45 PM,27,33.01,1
4025,6:17:30 PM,228,31.37,2
4025,2:17:29 PM,66,144.8,3
4025,3:40:42 PM,71,151.11,4
407,5:17:01 PM,10,24.59,1
407,4:03:59 PM,147,69.86,2
407,11:54:29 AM,151,142.21,3
407,7:13:11 PM,223,194.73,4
407,10:49:31 AM,227,183.93,5
407,10:31:34 AM,183,246.55,6
407,2:55:50 PM,400,213.09,7
3824,8:15:35 PM,108,35.72,1
3824,7:34:16 PM,237,45.56,2
3824,3:45:48 PM,258,42.77,3
3824,11:25:23 AM,167,108.18,4
3824,2:19:17 PM,244,146.17,5
3824,4:25:58 PM,719,224.96,6
4857,8:54:26 PM,49,42.17,1
4857,10:37:47 AM,59,50.83,2
4857,11:11:28 AM,357,108.18,3
4857,5:02:51 PM,43,71.23,4
4857,7:50:40 PM,270,190.26,5
4857,5:40:19 PM,371,172.13,6
1362,10:36:38 AM,82,33.16,1
1303,1:04:31 PM,65,32.72,1
1303,7:55:52 PM,116,48.2,2
1303,12:38:55 PM,203,81.88,3
1303,12:15:39 PM,192,81.36,4
1410,8:56:20 PM,55,13.42,1
1410,4:44:35 PM,63,95.23,2
3523,4:58:18 PM,71,32.32,1
3523,11:55:08 AM,51,93.83,2
3523,2:23:19 PM,234,83.01,3
3523,11:12:09 AM,171,85.07,4
3523,1:56:09 PM,204,78.6,5
3523,3:18:01 PM,379,153.28,6
4719,1:35:45 PM,30,31.2,1
4719,3:25:40 PM,44,70.61,2
4719,7:31:49 PM,284,146.68,3
4719,2:44:30 PM,367,68.68,4
3600,5:04:43 PM,69,45.64,1
3600,6:12:36 PM,106,92.61,2
3600,11:27:41 AM,315,39.49,3
3600,3:56:05 PM,112,113.01,4
3600,7:15:41 PM,527,182.67,5
3600,2:30:29 PM,254,86.46,6
3600,4:14:27 PM,396,268.27,7
3664,6:17:53 PM,107,42.36,1
3664,7:35:17 PM,223,71.53,2
3664,10:29:59 AM,268,66.15,3
3664,5:22:13 PM,152,74.54,4
872,1:52:09 PM,89,17.1,1
872,6:05:27 PM,150,95.8,2
872,10:29:56 AM,123,67.2,3
872,11:08:49 AM,302,48.03,4
872,10:49:04 AM,292,85.05,5
872,2:40:37 PM,542,291.99,6
239,8:40:18 PM,45,39.76,1
239,11:51:10 AM,56,61.06,2
239,9:43:41 AM,211,34.03,3
239,8:19:39 PM,266,94.13,4
239,9:00:38 AM,447,54.37,5
239,10:17:47 AM,607,274.89,6
239,3:32:15 PM,147,115.01,7
4028,11:34:43 AM,40,45.39,1
4028,11:53:19 AM,80,93.42,2
4028,2:19:48 PM,102,96.93,3
4028,5:39:36 PM,104,58.78,4
4028,5:54:23 PM,530,178.98,5
4028,9:47:01 AM,385,150.8,6
4028,8:46:19 PM,718,186.16,7
5000,1:09:35 PM,25,41.22,1
5000,2:42:23 PM,44,70.21,2
5000,6:19:45 PM,130,94.96,3
5000,4:06:02 PM,343,153.19,4
781,10:46:13 AM,32,37.97,1
216,1:33:13 PM,111,26.46,1
216,6:38:57 PM,66,34.95,2
216,11:12:03 AM,349,120.8,3
216,4:04:31 PM,316,52.2,4
3958,11:50:39 AM,71,17.13,1
3958,10:52:53 AM,104,22.33,2
4532,2:06:57 PM,68,31.75,1
4532,5:46:05 PM,170,20.11,2
4532,2:33:41 PM,244,118.71,3
4532,11:51:17 AM,420,65.65,4
195,3:53:28 PM,33,17.64,1
195,5:40:18 PM,136,81.65,2
195,12:41:10 PM,228,72.84,3
195,1:52:31 PM,110,161.95,4
195,7:23:29 PM,448,194.01,5
195,10:22:10 AM,80,200.37,6
195,7:15:06 PM,191,220.07,7
2733,5:22:44 PM,109,43.87,1
2733,6:38:36 PM,164,88.72,2
2733,1:00:39 PM,144,31.63,3
2733,9:34:32 AM,330,162.59,4
